NUMBER,HSN_CODE,NAME_OF_COMMODITY,CHAPTER_NO,SUB_CHAPTER,GST_PERCENTAGE_INDIA
322,0507.90.50,Buffalo horns powder and waste,5,II,5%
323,0507.90.60,Tortoise shell powder and waste,5,II,5%
324,0507.90.70,Claws and waste of tortoise sheel powder and waste,5,II,5%
325,0507.90.90,"Tortoise-shell, whalebone, antlers, hooves, claws; their powder and waste: Other",5,II,5%
326,0508 .00.00,"Coral and similar materials, unworked or simply prepared but not otherwise worked; shells of molluscs,crustaceans or echinoderms and cuttlebone, unworked or simply prepared but not cut to shape; powder and waste thereof",5,II,5%
327,0508 .00.10,"Coral unworked, powder/waste",5,II,5%
328,0508 .00.20,"Chanks unworked, powder/waste",5,II,5%
329,0508 .00.30,"Cowries unworked, powder/waste",5,II,5%
330,0508 .00.40,"Cuttlefishl unworked, powder/waste",5,II,5%
331,0508 .00.50,"Shells unworked, powder/waste",5,II,5%
332,0508 .00.90,"shells of molluscs,crustaceans or echinoderms and cuttlebone, unworked, powder/waste ",5,II,5%
333,0509.00.00,Natural sponges of animal origin,5,II,5%
334,0510.00.00,"Ambergris, castoreum, civet and musk; cantharides; bile, wether or not dried; glands and other animal products used in the preparation of pharmaceutical products , fresh, chilled, frozen or otherwise provisionally preserved.",5,II,5%
335,0511.00.00,"Animal products not elsewhere specified or included; dead animals of chapter 1 or3, unfit for human consumption, other than semen including frozen semen.",5,II,5%
336,0511.10.00,Bovine (bull) semen,5,II,5%
337,0511.91.00,"Products of fish or crustaceans, molluscs or other aquatic invertebrates; dead animals of chapter 3",5,II,5%
338,0511.91.10,Fish nails,5,II,5%
339,0511.91.20,Fish tails ,5,II,5%
340,0511.91.30,Other fish waste,5,II,5%
341,0511.99.11,Silkworm pupae - Artemia,5,II,5%
342,0511.99.29,Sinews and tendons of wild life,5,II,5%
343,0511.99.91,Semen inclduing frozen semen,5,I,NIL
344,0601.00.00,"Bulbs, tubers, tuberous roots, corms, crowns and rhizomes, dormat, in growth or in flower; chicory plants and roots other than roots of heading 1212",6,I,NIL
345,0601.10.00,"Bulbs, tubers, tuberous roots, corms, crowns and rhizomes, dormant in growth or in flower",6,I,NIL
346,0601.20.00,"Bulbs, tubers, tuberous roots, corms, crowns and rhizomes, in growth or in flower; chicory plants and roots ",6,I,NIL
347,0601.20.21,Chicory plants,6,I,NIL
348,0601.20.22,Chicory roots,6,I,NIL
349,0601.20.90,Other than roots of heading 1212,6,I,NIL
350,0602.00.00,"Other live plants (including their roots), cuttings and slips; mushroom spawn",6,I,NIL
351,0602.10.00,Unrooted cuttings and slips,6,I,NIL
352,0602.20.00,"Trees, shrubs and bushes, grafted or not, of kinds, which bear edible fruits or nuts",6,I,NIL
353,0602.30.00,"Rhododendrons and azaleas, grafted or not",6,I,NIL
354,0602.40.00,"Roses, grafted or not",6,I,NIL
355,0602.90.10,Mushroom spawn grafted or not,6,I,NIL
356,0602.90.20,Flowering plants (Excluding roses and rhododerndrons) grafted or not,6,I,NIL
357,0602.90.30,Tissue culture plant grafted or not,6,I,NIL
358,0602.99.00,"Herbaceous perennials: orchid plants, with soil attached to roots: chrysanthemums no, trees and poinsettias grafted or not",6,I,NIL
359,0603.00.00,"Cut flowers and flower buds of a kind suitable for bouquets or for ornamental purposes, fresh, dried, dyed, bleached, impregnated or otherwise prepared",6,I,NIL
360,0603.11.00,Fresh roses,6,I,NIL
361,0603.12.00,Fresh carnations,6,I,NIL
362,0603.13.00,Fresh orchids,6,I,NIL
363,0603.14.00,Fresh chrysanthemums,6,I,NIL
364,0603.90.00  ,"Cut flowers and flower buds (dried, dyed, bleached, otherwise prepared)",6,I,NIL
365,0604.00.00  ,"Foliage, branches and other parts of plants, without flowers or flower buds, and grasses, mosses and lichens, being goods of a kind suitable for bouquets or for ornamental puposes, fresh, dried, dyed, bleached, imregnated or otherwise prepared",6,I,NIL
366,0604.10.00,Mosses and lichens,6,I,NIL
367,0604.99.00,"Foliage, branches, other parts of plants; grass (dried, otherwise prepared)",6,I,NIL
368,0701.00.00,Potatoes fresh or chilled,7,I,NIL
369,0701.10.00,Potato Seed,7,I,NIL
370,0702.00.00,"Tomatoes, fresh or chilled",7,I,NIL
371,0702.10.00,Cherry,7,I,NIL
372,0702.30.00,Roma (plum type),7,I,NIL
373,0703.00.00,"Onions, shallots, garlic, leeks and other alliaceous vegetables, fresh or chilled",7,I,NIL
374,0703.10.00,Onions and shallots: onion sets,7,I,NIL
375,0703.20.00  ,Garlic,7,I,NIL
376,0703.90.00,Leeks and other alliaceous vegetables,7,I,NIL
377,0704.00.00  ,"Cabbages, cauliflower, kohlrabi, kale and similar edible brassicas, fresh or chilled",7,I,NIL
378,0704.10.00,"Cauliflower and headed broccoli (brassica oleracea, var botrytis)",7,I,NIL
379,0704.20.00  ,Brussels sprouts,7,I,NIL
380,0704.90.00,"Other (including sprouting broccoli, (brassica oleracea var italica), cabbage, broccoli",7,I,NIL
381,0705.00.00,"Lettuce (Lactucasativa) and chicory (cichorium spp.), fresh or chilled",7,I,NIL
382,0705.11.00  ,Head lettuce (cabbage lettuce),7,I,NIL
383,0705.21.00,Witloof chicory (cichorium intybus var foliosum),7,I,NIL
384,0706.00.00,"Carrots, turnips, salad beetroot, salsify, celeriac, radishes and similar eidble roots, fresh or chilled",7,I,NIL
385,0706.10.00,Carrots and turnips,7,I,NIL
386,0706.90.10,Horse radish fresh or chilled,7,I,NIL
387,0706.90.20,Other radish fresh or chilled,7,I,NIL
388,0706.90.30,Salad beetroot fresh or chilled,7,I,NIL
389,0706.90.90,"Carrots, turnips & other edible roots, fresh or chill: Other",7,I,NIL
390,0707.00.00,"Cucumbers and gherkins, fresh or chilled",7,I,NIL
391,0708.00.00,"Leguminous vegetables, shelled or unshelled, fresh or chilled",7,I,NIL
392,0708.10.00,"Peas (pisum sativum) shelled or unshelled, fresh or chilled",7,I,NIL
393,0708.20.00,"Beans (vigna spp, phaseolus spp) shelled or unshelled, fresh or chilled",7,I,NIL
394,0708.90.00,"Other leguminous vegetables shelled or unshelled, fresh or chilled",7,I,NIL
395,0709.00.00,"Other vegitables, fresh or chilled",7,I,NIL
396,0709.10.00,Globe artichokes fresh or chilled,7,I,NIL
397,0709.20.00,Asparagus fresh or chilled,7,I,NIL
398,0709.30.00,Eggplants (aubergines) fresh or chilled,7,I,NIL
399,0709.40.00  ,Celery other than celeriac fresh or chilled,7,I,NIL
400,0709.51.00,Mushrooms of the genus agaricus,7,I,NIL
401,0709.52.00,Truffles,7,I,NIL
402,0709.59.00,Other mushrooms,7,I,NIL
403,0709.60.00,"Fruits of the genus capsicum (peppers) or of the genus pimenta (eg, allspice)",7,I,NIL
404,0709.60.10,Green Chilly of the genus capsicum or of the genus pimenta,7,I,NIL
405,0709.60.90,Other Capsicum,7,I,NIL
406,0709.70.00,"Spinach, new zealand spinach and orache spinach (garden spinach)",7,I,NIL
407,0709.90.10,Olives,7,I,NIL
408,0709.90.20,Curry Banana (Plantain),7,I,NIL
409,0709.90.30,Pumpkins,7,I,NIL
410,0709.90.40,Green Pepper ,7,I,NIL
411,0709.90.50,Mixed vegetables,7,I,NIL
412,0700.00.00,"Herb, bark, dry plant, dry root, commonly known as jari booti and dry flower",7,II,5%
413,0710.00.00,"Vegetables (uncooked or cooked by steaming or boiling in water), frozen",7,II,5%
414,0710.10.00  ,Potatoes uncooked or cooked by steaming or boiling in water,7,II,5%
415,0710.21.00,"Peas (pisum sativum) shelled or unshelled, fresh or chilled",7,II,5%
416,0710.22.00,"Beans (vigna spp, phaseolus spp) shelled or unshelled, fresh or chilled",7,II,5%
417,0710.29.00,"Other leguminous vegetables (uncooked, cooked by steaming or boiling in)",7,II,5%
418,0710.30.00,"Spinach, new zealand spinach and orache spinach(garden spinach)",7,II,5%
419,0710.40.00,Sweet corn,7,II,5%
420,0710.80.00,Other vegetables un cooked or cooked by steaming or boiling in water,7,II,5%
421,0710.80.10,Terragon un cooked or cooked by steaming or boiling in water,7,II,5%
422,0711.00.00,"Vegetables provisionally preserved (for example, by sulphur dioxide gas, in brine, insulphur water or in other preservative solution), but unsuitable in that state for immediate consumption ",7,II,5%
423,0711.10.00,Onions provisionally preserved,7,II,5%
424,0711.20.00,Olives provisionally preserved,7,II,5%
425,0711.30.00,Capers provisionally preserved,7,II,5%
426,0711.40.00,Cucumbers and gherkins provisionally preserved,7,II,5%
427,0711.51.00,Mushrooms of the genus agaricus provisionally preserved,7,II,5%
428,0711.90.10,Green pepper in brine provisionally preserved,7,II,5%
429,0711.90.20,Assorted canned vegetables provisionally preserved,7,II,5%
430,0712.00.00,"Dried vegetables, whole, cut, sliced, broken or in powder, but not further prepared",7,I,NIL
431,0712.10.00,Potatoes whether or not cut or sliced but not further prepared,7,I,NIL
432,0712.20.00,Onions: powder or flour,7,I,NIL
433,0712.30.00  ,Mushrooms and truffles,7,I,NIL
434,0712.31.00  ,Mushrooms of the genus agaricus,7,I,NIL
435,0712.32.00  ,Wood ears (Auricularia spp.),7,I,NIL
436,0712.33.00  ,Jelly fungi (tremella spp.),7,I,NIL
437,0712.90.00,Other vegetables; mixtures of vegetables: garlic: powder or flour sweet corn seeds of a kind used for sowing other vegetables; mixtures of vegetables,7,I,NIL
438,0712.90.10,"Asparagus, dried",7,I,NIL
439,0712.90.20,Dehydrated garlic powder,7,I,NIL
440,0712.90.30,Dehydrated garlic flakes,7,I,NIL
441,0712.90.40,Dried Garlic,7,I,NIL
442,0712.90.50,"Marjoram, oregano",7,I,NIL
443,0712.90.60,Potatoes powder or flour,7,I,NIL
444,0713.00.00,"Dried leguminous vegetables, shelled, whether or not skinned or split",7,I,NIL
445,0713.00.00,"Leguminous vegetables, dried shelled",7,I,NIL
446,0713.10.00,"Peas (pisum sativum): seeds of a kind used for sowing split peas, green peas, yellow peas, austrian winter peas",7,I,NIL
447,0713.20.00,"Chickpeas (garbanzos), seeds of a kind used for sowing, beans (vigna spp, phaseolus spp):",7,I,NIL
448,0713.31.00,Beans of the species vigna mungo (l) hepper or vigna radiata (l) wilczek: seeds of a kind used for sowing,7,I,NIL
449,0713.32.00,"Small red (adzuki) beans (phaseolus or vigna angularis),seeds of a kind used for sowing",7,I,NIL
450,0713.33.00,"Kidney beans, including white pea beans(phaseolus vulgaris): seeds of a kind used for sowing, navy or pea beans, dark red kidney beans, light red kidney beans",7,I,NIL
451,0713.39.00,"Seeds of a kind used for sowing, cowpeas, black beans, great northern beans, baby lima beans other lima beans, pinto beans, other white beans",7,I,NIL
452,0713.40.00,Lentils: seeds of a kind used for sowing,7,I,NIL
453,0713.50.00,Broad beans (vicia faba var major) and horse beans (vicia faba var equina and vicia faba var minor):seeds of a kind used for sowing,7,I,NIL
454,0713.90.00,Seeds of a kind used for sowing,7,I,NIL
455,0714.00.00,"Manioc arrowroot, salep, Jerusalem, artichokes, sweet potatoes and similar roots and tubers with high starch or inulin content, fresh or chilled; sago pith",7,I,NIL
456,0714.00.00,"Manioc arrowroot, salep, Jerusalem, artichokes, sweet potatoes and similar roots and tubers with high starch or inulin content, frozen or dried, whether or not sliced or in the form of pellets.",7,II,5%
457,0714.10.00,"Cassava (manioc) Tapioca, dried fresh or chilled",7,I,NIL
458,0714.20.00,Sweet potatoes fresh or chilled,7,I,NIL
459,0714.90.00,Other roots and tubers with high starch or inulin content; sago pith,7,I,NIL
460,0801.00.00,"Brazil nuts & cashew nuts, fresh or dried, whether or not shelled or peeled.",8,III,12%
461,0801.00.00,"Coconuts fresh or dried, whether or not shelled or peeled.",8,I,NIL
462,0801.10.00  ,Coconuts,8,I,NIL
463,0801.11.00,Dessicated coconut,8,I,NIL
464,0801.19.90,Other coconut products,8,I,NIL
465,0801.20.00,Brazil nuts,8,III,12%
466,0801.21.00,Brazil nuts in shell,8,III,12%
467,0801.22.00,Brazil nuts shelled,8,III,12%
468,0801.31.00,Raw cashew,8,III,12%
469,0802.00.00,"Other nuts, fresh such as Almonds, Hazelnuts or filberts (Coryius spp.) walnuts Chestnuts (Castabea spp.)",8,I,NIL
470,0802.00.00,"Other nuts, dried whether or not shelled or peeled such as Almonds, Hazelnuts or filberts (Coryius spp.) walnuts Chestnuts (Castabea spp.), Pistachios, Macadamia Nuts, Kola nuts (Cola spp.), other than areca nuts",8,III,12%
471,0802.00.00,"Dried areca nuts, whether or not shelled or peeled",8,II,5%
472,0802.11.00,Almond (in shell; fresh ),8,I,NIL
473,0802.11.00,Almond (in shell; dried),8,III,12%
474,0802.21.00,"Hazelnuts, filberts (in shell; fresh )",8,I,NIL
475,0802.21.00,"Hazelnuts, filberts (in shell; dried)",8,III,12%
476,0802.31.00  ,Walnuts in shell - fresh,8,I,NIL
477,0802.31.00,Walnet in shell - dried,8,III,12%
478,0802.40.00,"Chestnuts, castanea spp (shelled or not; fresh )",8,I,NIL
479,0802.40.00,"Chestnuts, castanea spp (shelled or not; dried)",8,III,12%
480,0802.50.00,Pistachios (shelled or not) - fresh,8,I,NIL
481,0802.50.00,Pistachios (shelled or not) - dried,8,III,12%
482,0802.60.00,Macadamia (shelled or not; fresh),8,I,NIL
483,0802.60.00,Macadamia (shelled or not; dried),8,III,12%
484,0802.90.11,Arecanut/Betel nut dried,8,II,5%
485,0803.00.00,"Bananas including plantains, fresh or dried",8,I,NIL
486,0804.00.00,"Dates, figs, pineapples, avocados, guavas, mangoes, and mangosteens, fresh",8,I,NIL
487,0804.00.00,"Dates, figs, pineapples, avocados, guavas, mangoes, and mangosteens, dried",8,III,12%
488,0804.10.00,Dates - fresh,8,I,NIL
489,0804.10.20,Soft / wet dates,8,I,NIL
490,0804.10.30,Hard dates (dry dates),8,III,12%
491,0804.20.00,Figs,8,I,NIL
492,0804.20.90,Dried Figs,8,III,12%
493,0804.30.00,Pineapples - fresh,8,I,NIL
494,0804.30.00,Pineapples - dried,8,III,12%
495,0804.40.00,Avocados - fresh,8,I,NIL
496,0804.40.00,Avocados - dried,8,III,12%
497,0804.50.00,"Guavas, mangoes and mangosteens - fresh",8,I,NIL
498,0804.50.00,"Guavas, mangoes and mangosteens - dried",8,III,12%
499,0804.50.30,"Mangoes, sliced dried",8,III,12%
500,0805.00.00,"Citrus fruit, such as Oranges, Mandarins (including tangerines and satsumas); clementines, wilkings and similar citrus hybrids, grapefruit including pemelos, Lemons (Citrus limon, citurs limonum) and limes (citrus aurantifolia, citurs latifolia), fresh ",8,I,NIL
501,0805.10.00,Oranges fresh,8,I,NIL
502,0805.12.00  ,Temple oranges - fresh,8,I,NIL
503,0805.20.00,"Mandarins (including tangerines and satsumas);clementines, wilkings and similar citrus hybrids:",8,I,NIL
504,0805.22.00,Tangerines - fresh,8,I,NIL
505,0805.40.00,Grapefruit including pemelos,8,I,NIL
506,0805.50.00,"Lemons (citrus limon, citrus limonum) and limes(citrus aurantifolia), lemons , limes",8,I,NIL
507,0805.90.00,Other citrus fruit (fresh ),8,I,NIL
508,0806.00.00,"Grapes, fresh",8,I,NIL
509,0806.00.00,"Grapes, dried, and raisins",8,III,12%
510,0806.10.00,Fresh grapes,8,I,NIL
511,0806.20.00,Dried (including raisins),8,III,12%
512,0806.20.10,Dried grapes (Raisins),8,III,12%
513,0807.00.00,"Melons (including watermelons) and papayas, fresh",8,I,NIL
514,0807.10.00,"Melons (including watermelons), cantaloupes, watermelons (Other melons)",8,I,NIL
515,0807.20.00,Papayas (papaws),8,I,NIL
516,0808.00.00,"Apples, pears and quinces, fresh",8,I,NIL
517,0808.10.00,Fresh Apples,8,I,NIL
518,0808.20.00,Fresh Pears and quinces,8,I,NIL
519,0809.00.00,"Apricots, cherries, peaches (including nectarines), plums & sloes, fresh",8,I,NIL
520,0809.10.00,Apricots - Fresh,8,I,NIL
521,0809.20.00  ,Cherries - Fresh,8,I,NIL
522,0809.22.00,Sweet varieties fresh,8,I,NIL
523,0809.24.00,Tart varieties fresh,8,I,NIL
524,0809.30.00,"Peaches, including nectarines fresh",8,I,NIL
525,0809.40.00,Plums (including prune plums) and sloes fresh,8,I,NIL
526,0810.00.00  ,"Other fruit scuh as strawberries, rasberries, blackberries, mulberries, black, white or red currants and gooseberries cranberries, bilberries and other fruits of the genus vaccinium, kiwi fruit, Durians, Persimmons, Pomegranates, Tamarind, Sapota (Chico), Custard-apple (ata), Bore, Lichi, fresh",8,I,NIL
527,0810.10.00,Strawberries,8,I,NIL
528,0810.20.00,"Raspberries, blackberries, mulberries and loganberries",8,I,NIL
529,0810.30.00,"Black, white or red currants and gooseberries (other than kiwi fruit)",8,I,NIL
530,0810.40.00  ,"Cranberries, blueberries and other fruits of the genus vaccinium: blueberries ",8,I,NIL
531,0810.50.00,Kiwifruit,8,I,NIL
532,0810.60.00,Durians,8,I,NIL
533,0810.90.10,Pomegranates,8,I,NIL
534,0811.00.00,"Fruit and nuts, uncooked or cooked by steaming or boiling in water, frozen, whether or not containing added sugar or other sweetening matter.",8,II,5%
535,0811.10.00,Strawberries,8,II,5%
536,0811.10.10,Strawberries contained added sugar,8,II,5%
537,0811.10.20,Straberries not sontained added sugar,8,II,5%
538,0811.20.00,"Raspberries, blackberries, mulberries, loganberries, black, white or red currants andgooseberries (other than kiwi fruit)",8,II,5%
539,0811.20.10,"Raspberries, blackberries, mulberries, loganberries, black, white or red currants andgooseberries (other than kiwi fruit) contained added sugar",8,II,5%
540,0811.20.20,"Raspberries, blackberries, mulberries, loganberries, black, white or red currants andgooseberries (other than kiwi fruit) not sontained added sugar",8,II,5%
541,0811.90.00,"Wild, cultivated cherries: sweet varieties, tart varieties",8,II,5%
